;tweet;retweet;favoritos
82;Ontem liguei para o Presidente de Moçambique, Filipe Nyusi, para prestar solidariedade ao seu país e às vítimas da devastação causada pelo ciclone Idai. Nos colocamos à disposição no que for possível. Me solidarizo com o povo do Zimbabué e Malawi, também atingidos pelo ciclone.;4502;47276
83;Agradeço de coração a cada um que está dedicando um momento para me desejar felicitações pelo meu aniversário. Retribuo o carinho e as mensagens positivas. Só peço a Deus saúde e sabedoria para conduzir com vocês nosso amado Brasil. Estamos juntos! Um forte abraço a todos! 👍 https://t.co/psc2ZxGdMk;10240;88798
84;@alexandregarcia Um forte abraço, Alexandre! 👍;1640;37046
85;Nas próximas horas embarco rumo ao Chile para mais uma agenda de compromissos que certamente será muito proveitosa para o Brasil. Ressalto que os trabalhos em nosso país não param. Estamos determinados a mudar nossa nação de verdade para melhor!;6483;55415
86;No Brasil as concessões visam combater a corrupção e mudar a economia. Para tal, temos que tirar do Estado o que puder para ser administrado pelo setor privado.;4384;38409
87;Nos dias 22 de março e 5 de abril serão leiloadas 10 áreas portuárias que trarão investimentos e empregos no setor e em sua capilarização. Os portos são em Vitória (ES), Cabedelo (PB, Vila do Conde e Miramar no (PA) e podem render neste momento inicial na ordem de R$700 milhões.;5439;45992
88;A @CAIXANoticias no Paraná trabalha apoiando o Centro de Excelência Hospitalar à Mulher e ao Trabalhador, pavimentação de ruas e casas populares, além de realizar serviço conjunto com o Hospital do Rocio na realização de transplantes e suporte à cultura local: https://t.co/7uuumqf7wz;2987;22015
89;RT @planalto: Presidente @jairbolsonaro entregou hoje (20) para o presidente da @camaradeputados @RodrigoMaia o projeto de lei de reestrutu…;1100;0
90;RT @AdvocaciaGeral: AGU defende no Supremo prisão a partir de condenação em segunda instância. Entenda: https://t.co/60ZQ5hjR76 https://t.c…;1379;0
91;O Secretário @jorgeseif esteve na maior feira de pescado do mundo para trazer mais conhecimentos ao Brasil tornando nosso peixe mais atrativo ao exigente mercado europeu. O objetivo é expandir a produção nacional e consumo mundial, potencializando a economia no setor. https://t.co/vqr4EhpdmY;2799;20379
92;Obrigado pela consideração! Seguimos avançando no que for possível! Um forte abraço a todos! https://t.co/4JbRkxdPLI;3987;38751
93;Sabemos que uma das principais reclamações do brasileiro é o preço do combustível e temos conversado com os ministérios responsáveis para absorver tal demanda e até poder diversificar. lembro que os estados carrregam consigo enorme responsabilidade na tributação dos combustíveis.;3876;31321
94;A produção até o momento desse ano está 9,7% maior do que no ano passado. Em fevereiro foram fabricadas 2,5 mil unidades, o que significa crescimento de 19,8% frente as 2,1 mil de fevereiro do ano passado e de 31,6% contra as 1,9 mil de janeiro.;2423;24219
95;A comercio de ônibus no bimestre ficou em 3,1 mil unidades, crescimento de 79,8% se comparado com as 1,7 mil unidades do ano passado. Em fev. 1,5 mil unidades foram negociadas, expansão de 71,3% ante as 871 unidades de fev. de 2018 e retração de 6,6% sobre as 1,6 mil de janeiro.;1080;8050
96;O bimestre encerrou com 16,4 mil caminhões produzidos. Resultado superior em 13,5% se comparado com as 14,5 mil de igual período do ano passado. No mês passado, 9,6 mil unidades foram fabricadas, acréscimo de 23,8% sobre as 7,8 mil de fev/2018 e de 41,4% frente as 6,8 mil de jan.;1293;9220
97;Mercado de caminhões e ônibus cresce 61,2% nos primeiros dois meses de 2019. As vendas de caminhões foram de 6,9 mil unidades, acréscimo de 70,2%  a mais que as 4 mil do ano passado. 13,9 mil unidades foram comercializadas, significando elevação de 61,2% sobre as 8,6 mil de 2018.;5829;44574
98;- Eu e meu filho @BolsonaroSP fizemos uma live onde expusemos alguns dos principais pontos desta viagem aos EUA e o que está acontecendo no Brasil, como preço do combustível, comércio com a China, militares, Nova Previdência e mais. Confira: https://t.co/WwLREkg14u;4278;29326
99;RT @planalto: Em declaração à imprensa hoje (19), o presidente @jairbolsonaro cita o presidente Ronald Reagan e afirma “O povo deve dizer o…;3801;0
100;Presidente do Brasil e Presidente dos EUA discursam em momento histórico.  https://t.co/hRYlV1VmCn;3919;29299
101;Deixamos a América com a sensação de missão cumprida. Avanços importantes alcançados na área econômica, de segurança e política externa, bem como a consolidação do novo caminho de forte amizade entre Brasil e Estados Unidos. Vamos cooperar para o bem de nossos povos! 🇧🇷🤝🇺🇸 https://t.co/iO2jiBrSCi;8587;59178
102;Uma nova era nas relações entre Brasil e Estados Unidos se inicia, para o bem de nossas nações. Grande dia! 🇧🇷🤝🇺🇸 Great day! 👍 https://t.co/rmyViMSeP8;12687;88484
103;RT @BolsonaroSP: Reunião de hoje de manhã com o secretário geral da OEA, Luís Almagro @Almagro_OEA2015 .A conversa tratou sobre a narcodita…;2310;0
