;tweet;retweet;favoritos
81;Mais do que manifestar indignação, quero dizer que o tempo está revelando a verdade. Que não podemos perder a esperança de que a verdade vencerá, e ela está do nosso lado. Por isso, peço a cada um que fortaleçam cada vez mais a nossa luta pela democracia e pela justiça.;312;1401
82;Mas quem está preso é o Lula, que nunca foi dono de apartamento nem de sítio, que nunca assinou contratos da Petrobras, que nunca teve contas secretas como essa fundação que foi descoberta agora.;438;1988
83;Não se trata de convicções, mas de provas concretas:  documentos assinados, atos de ofício de autoridades públicas. Estes moralistas sem moral ocupam hoje altos cargos no governo que só foi eleito porque eles impediram minha candidatura.;260;997
84;E eles foram lá aos EUA, com a cobertura do então PGR, para fragilizar ainda mais uma empresa que é alvo de cobiça internacional. Em troca dessa fortuna, a Lava Jato se comprometeu a entregar ao estrangeiro os segredos e informações estratégicas da nossa Petrobras.;350;1243
85;Essa quantia foi tomada à maior empresa do povo brasileiro por uma corte de Nova Iorque, com base em delações levadas a eles pelos procuradores do Brasil.;179;752
86;Pouco depois, o jornalista Luís Nassif revelou ao público o acordo ilegal e secreto entre os procuradores da Lava Jato, a 13a. Vara Federal de Curitiba, o governo dos Estados Unidos e a Petrobras, envolvendo uma quantia de 2,5 bilhões de reais.;200;649
87;Ao me despedir do meu querido neto Arthur, senti todo o peso da injustiça que atingiu minha família. Ele discriminado na escola por ser meu neto e sofreu muito com isso. Então, prometi a ele que não vou descansar até que minha inocência seja reconhecida num julgamento justo.;3081;20810
88;Proibiram que desse entrevistas, proibiram até que comparecesse ao velório de meu irmão. Querem que eu desapareça, mas não é de mim que têm medo: é do povo que se identifica com nosso projeto e viu em minha candidatura a esperança de recuperar o caminho de uma vida melhor.;588;2873
89;"Como se não bastasse me prender, por crimes que jamais cometi, proibiram que eu participasse dos debates e das sabatinas no processo eleitoral; proibiram minha candidatura, contrariando a lei e a ONU (...)";196;1050
90;A Constituição e as leis foram desrespeitadas, como se houvesse um código penal de exceção, só para o Lula, no qual meus direitos foram sistematicamente negados.;189;780
91;Para me tirar das eleições, montaram uma farsa judicial com a cobertura dos meios de comunicação, tendo a Globo à frente. Envenenaram a população com horas e horas de noticiário mentiroso, em que a Lava Jato acusava e minha defesa era menosprezada, quando não era censurada.;543;1972
92;Minha candidatura era a resposta do povo ao entreguismo, ao abandono dos programas sociais, ao desemprego, à volta da fome, a todo o mal implantado pelo golpe do impeachment. É uma luta que temos de levar juntos, em nome de todos.;298;1565
93;A cada dia que passa fica mais claro para a população e para a opinião pública internacional que fui condenado e preso pelo único motivo de que, livre e candidato, seria eleito presidente pela grande maioria da população.;1088;5837
94;A luta que faço para ter um julgamento justo, em que minha inocência seja reconhecida diante das provas irrefutáveis, só faz sentido se for compreendida como parte da defesa da democracia, da retomada do estado de direito e do projeto de desenvolvimento com inclusão social.;197;829
95;Como sempre fiz em minha vida, e lá se vão mais de 45 anos de atividade sindical e política, encaro essa missão como um desafio coletivo.;131;621
96;Mas resisto principalmente porque sei que ainda tenho uma missão importante a cumprir neste momento em que a democracia, a soberania nacional e os direitos do povo brasileiro são ameaçados por interesses econômicos e políticos poderosos, inclusive de potências estrangeiras.;187;716
97;A força que me faz resistir a essa provação vem de vocês e  da convicção de que sou inocente.;2492;20932
98;Agradeço especialmente aos companheiros da vigília em Curitiba, que me confortam todos os dias, aos companheiros que constituem os comitês Lula Livre dentro e fora do Brasil, aos advogados, juristas, intelectuais e cidadãos democratas que se manifestam pela minha libertação.;1202;9280
99;Quero, em primeiro lugar, agradecer a solidariedade e o carinho que tenho recebido do povo brasileiro e de lideranças de outros países, neste quase um ano em que me encontro preso injustamente. #CartaDoLula;512;4037
100;RT @dilmabr: LULA, HERÓI DA CLASSE TRABALHADORA  Um homem perseguido. Um processo sem provas. Um julgamento parcial. Um preso político.  Un…;1077;0
101;Daqui a pouco vai começar o Encontro Nacional Lula Livre, em São Paulo. Todos unidos em defesa de #LiberdadeParaLula!   Foto: Ricardo Stuckert https://t.co/gxLQ4ENSDV;551;2160
102;Encontro Nacional #LulaLivre  Quando: Sábado, 16 de março Horário: 9h Onde: Sindicato dos Metroviários. Rua Serra de Japi, 31. Tatuapé. https://t.co/kqc4jQJKTf;336;1408
103;“Os trabalhadores e trabalhadoras do ABC voltam a ter um papel decisivo em defesa de direitos conquistados a duras penas, com suor e sangue de milhares de metalúrgicos e metalúrgicas que fizeram parte de nossa resistência histórica”, escreveu Lula. https://t.co/qJLDjFNyna;305;1227
104;Lula recebeu hoje o Prêmio de Direitos Humanos George Meany-Lane Kirkland 2019. A homenagem foi concedida pela Federação Americana do Trabalho e Congresso de Organizações Industriais (AFL-CIO), a maior central operária dos Estados Unidos e Canadá. https://t.co/q1licfcElK;2053;7877
105;"""Que todos os culpados, inclusive mandantes, sejam punidos. O Brasil precisa de Marielles, de paz, de democracia e solidariedade. Marielle vive. As lutas não são em vão"", escreveu Lula. #MarielleVive https://t.co/rPA8dt9i7F";741;3364
106;RT @smabc: CARTA DO EX-PRESIDENTE LULA AOS TRABALHADORES (AS) DA #FORD!  O ex-presidente Luiz Inácio Lula da Silva mandou sua solidariedade…;90;0
107;Luiz Dulci, vice-presidente do PT, e José Guimarães, deputado federal, transmitem mensagem de Lula após encontro com o ex-presidente na prisão #LulaLivreJá https://t.co/EZeOicGXDt;93;458
108;RT @inst_lula: Lula has been honoured with the 2019 George Meany-Lane Kirkland Human Rights Award https://t.co/m9Ui4Neomi;262;0
109;RT @MAB_Brasil: Neste 14 de março, Dia Internacional de Luta Contra as Barragens, em Defesa dos Rios e da Vida, e data em que o MAB complet…;80;0
110;Um ano sem Marielle Franco. Mensagem do ex-presidente Lula. #MarielleVive https://t.co/ovRLIWuDp6;1356;6613
111;Nota do ex-presidente Lula sobre massacre em Suzano. https://t.co/n1NsC6BXN0;7874;39764
112;RT @MarceloFreixo: O assassinato de uma vereadora é um crime político. Por isso é fundamental sabermos qual grupo político é capaz de, em p…;9192;0
113;RT @inst_lula: “Mentem quando dizem que o projeto acaba com privilégios, quando na verdade acaba com os direitos previdenciários da grande…;233;0
114;Meus sentimentos à família e aos muitos amigos do companheiro Dídimo Paiva. Jornalista corajoso que teve importante papel na construção e articulação nacional do novo sindicalismo. Para sempre em nossa memória.;324;3030
115;“O recado do Lula é o seguinte: democracia quem garante é o povo, é de onde emana todo o poder, segundo a nossa constituição”, afirmou @Haddad_Fernando. Bolsonaro afirmou que “democracia só existe se as Forças Armadas quiserem”. https://t.co/We3hex4Q7q;902;4373
116;#8M na Vigília Lula Livre  Integrantes da Vigília Lula Livre instalam placa em homenagem à memória e resistência de Marielle Franco.  Foto: Ricardo Stuckert https://t.co/RvHV0fWB3z;508;2853
117;Falamos de igualdade e do direito à própria vida, das mulheres que lutam para existir. De onde me encontro, sigo em resistência pela construção da sociedade que sonhamos juntos, de um Brasil com oportunidades iguais para todos e todas. #RecadoDoLula;473;2608
118;Oito de março é dia de lembrar a luta das mulheres, que vivem um exercício de resistência diário, desde o momento que vem ao mundo. Dia de marcar posição frente aqueles que hoje no poder tentam deslegitimar a luta de quem tem como ideal a igualdade de direitos. #RecadoDoLula;1149;7885
119;Recado do presidente Lula #8M https://t.co/Mzsfd3actR;1272;6445
120;Advogado de Lula, @Haddad_Fernando relata encontro com ex-presidente na prisão #LulaLivreJá  https://t.co/GUCkB5tINY;185;1015
121;"RT @inst_lula: Em carta ao Secretário de Estado Mike Pompeo, congressistas norte-americanos criticam prisão de Lula &gt; https://t.co/yWjVs3CG…";220;0
122;RT @inst_lula: No oitavo programa da #RádioLula, ouvimos os especialistas em direito penal Paula Mamede e Alfredo Andrade, que explicaram c…;66;0
123;"RT @_michaelbrooks: Very important letter from over 20 Congressional leaders spearheaded by @RepSusanWild &amp; including @RoKhanna @AOC @Deb4C…";155;0
124;Lula enviou um recado àqueles que tem se dedicado à luta contra sua prisão política. “Achei que ia encontrar um homem triste, mas encontrei um homem indignado. Ele nos pede para não abaixarmos a cabeça”. https://t.co/MyvwMQ1iXO;994;4656
125;RT @kmendoncafilho: Essa notícia é a mais importante desde muito tempo. Ajuda a entender o porquê de Lula estar na prisão sem que nada tenh…;1752;0
126;Neudicleia de Oliveira, do MAB (Movimento dos Atingidos por Barragens) e membro da Vigília Lula Livre, relata visita a Lula na prisão https://t.co/l6G1oDSDM5;164;813
127;RT @gleisi: Quem autorizou Dallagnol criar um Fundo em nome do Ministério Público c/ dinheiro da Petrobrás? A PGR? Como é a oficialização?…;2969;0
128;Parabéns, Mangueira! #LulaLivre #MarielleVive https://t.co/6SR7g6N2y7;3047;19357
129;"RT @MarkosOliveira: ""É um recado político para o presidente mostrar que o carnaval é isso aqui. O carnaval é festa do povo, é cultura popul…";6213;0
130;RT @PTnaCamara: AO VIVO – Balanço dos 60 dias do governo Bolsonaro https://t.co/LBytDnJydu https://t.co/xN9KSivLxT;91;0
131;RT @DeputadoFederal: Todo o nosso apoio à luta dos companheiros trabalhadores da @Ford que estão na luta para tentar reverter a decisão de…;258;0
132;Naquela manhã de sexta-feira a casa de Lula e de seus filhos foi invadida por policiais armados em busca de algo que procuram até hoje: uma prova de que o ex-presidente havia cometido algum crime. https://t.co/QqhzRXmaOa;2054;8244
133;Força, presidente Lula. https://t.co/G4sfb3eL5s;767;5431
134;Lula, muito emocionado, ficou em torno de duas horas com a família e amigos mais próximos no velório. #timeLula #LulaLivre https://t.co/coqbCpYU7u;2114;10891
135;RT @inst_lula: Lula preso num processo sem provas e sem pé nem cabeça é uma falha brutal da nossa justiça. Paulo Okamoto, do Instituto Lula…;1016;0
136;“Devia ser proibido um pai enterrar um filho, um avô enterrar um neto.” https://t.co/ApcUsrm1rX;1506;9396
137;https://t.co/xi3nSShock;12951;80317
138;O ex-presidente Lula recebeu nesta quinta-feira (28) a visita da presidenta do PT, @gleisi Hoffmann, e do líder da bancada do PT na Câmara, @DeputadoFederal Paulo Pimenta. https://t.co/xm4yJPi65V;486;2805
139;Laudo do técnico foi protocolado, nesta quinta (28), no STF e aponta que Gabriela Hardt usou a sentença do caso do tríplex para condenar o ex-presidente no processo do sítio. https://t.co/xWB8sUnYkM;955;3283
140;AO VIVO: Gleisi Hoffmann, presidenta do PT, e Paulo Pimenta, líder da bancada federal, direto de Curitiba, após visita a Lula na prisão https://t.co/9ygWBD6VNK;117;595
141;Tá ok? #timelula https://t.co/7ZeAQJm92i;1284;4970
142;Lula reconhece e apoia o presidente Zé de Abreu! https://t.co/Y4mqw41QIt;3229;17411
143;Denúncia descabida foi feita durante eleição, prejudicando Haddad quando já era candidato e beneficiando Bolsonaro. Já o caso Queiroz só foi aparecer depois da eleição e Lula foi impedido de disputar condenado por “atos indeterminados”. #timeLula https://t.co/DtSzRr4ODj;863;2768
144;"Celso Amorim, o ministro de Relações Exteriores de Lula, foi eleito o melhor do mundo. O de Bolsonaro, em dois meses, já é chamado de o pior, pela submissão ""patética"" aos Estados Unidos. #timeLula #LulaLivre https://t.co/TKIS5qC3eQ";1239;4081
145;De juiz que condenou Lula a ministro de Bolsonaro.  https://t.co/kqpD9yJm6T;839;2532
146;A melhor forma de resolver o problema da Previdência é gerar empregos. Quanto mais emprego, mais salários, mais contribuições e menos déficit. Na minha época havia superávit. #RecadoDoLula;2025;11496
147;RT @inst_lula: Na Paraíba, Sergio Nunes se formou em Direito. Já na escolha de tema para seu TCC, o estudante lembrou de @LulaOficial. Seu…;263;0
148;RT @inst_lula: Desde sua injusta prisão, Lula já recebeu mais de 30 mil cartas! Tudo o que chega é lido, respondido e catalogado pelo Insti…;150;0
149;"""Uma das formas dos trabalhadores da Ford lutarem contra o fechamento da fábrica em São Bernardo é pressionar o governo a proibir a importação de produtos da empresa fabricados em outro país."" https://t.co/SDOW52kvRe";287;972
150;Sentença cheia de erros usou o mesmo arquivo de Moro. E tem vários erros como considerar o mesmo delator duas vezes, uma pelo nome, outra pelo apelido. Quem realmente escreveu essa sentença? Moro de novo? #timeLula https://t.co/8ebHoP198A;985;3015
151;Uma das formas dos trabalhadores da Ford lutarem contra o fechamento da fábrica em São Bernardo é pressionar o governo a proibir a importação de produtos da empresa fabricados em outro país. #RecadoDoLula;983;4565
152;RT @inst_lula: Há 11 anos, @LulaOficial lançava o programa Territórios da Cidadania. Criado durante seu 2° mandato, o programa foi uma estr…;187;0
153;RT @GuilhermeBoulos: Com 73 anos de idade e uma condenação que totaliza 25 anos, Lula é alvo de uma ofensiva judicial que não busca a justi…;1105;0
154;A defesa de Lula entregou a última manifestação ao Comitê de Direitos Humanos da ONU. Nela, Lula afirma que Moro pôs em dúvida a afirmação do Brasil de que, quando juiz, agiu com isenção, ao aceitar o convite de Bolsonaro para comandar o Ministério. https://t.co/pWNhvNLd0t;573;1747
155;Duas entrevistas, 27 anos de diferença. O mesmo Lula, antes e depois da Presidência, viajando o Brasil e conversando com o povo.  Vídeo: Rede TVT e Ricardo Stuckert https://t.co/QANJD7WblU;888;3426
156;Enquanto o mundo observa a tensão entre Venezuela e Brasil, vale lembrar de um presidente que lançou holofotes sobre o Brasil sem precisar envolver o país em nenhum conflito. Um chefe de Estado que priorizava a paz e o bem estar do povo brasileiro. https://t.co/vNjAFde3h2;560;2036
157;RT @PrensaPEsquivel: Lula recibe apoyo de más de medio millón de personas y ya está postulado formalmente al Premio Nobel de la Paz 2019 po…;2990;0
